1.00	-1.111111e-03	-4.444444e-03	-2.222222e-03	-2.900000e-01	-2.600000e-01	1.018000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
2.00	1.111111e-03	1.111111e-03	-1.111111e-03	-3.100000e-01	-2.400000e-01	1.015000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
3.00	0	-3.333333e-03	0	-2.900000e-01	-2.200000e-01	1.011000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
4.00	1.111111e-03	-3.333333e-03	0	-2.100000e-01	-2.100000e-01	1.019000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
5.00	0	0	1.111111e-03	-2.300000e-01	-2.000000e-01	1.017000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
6.00	0	-2.222222e-03	3.333333e-03	-2.900000e-01	-1.800000e-01	1.013000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
7.00	-1.111111e-03	-1.111111e-03	-2.222222e-03	-3.100000e-01	-1.900000e-01	1.017000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
8.00	-3.333333e-03	1.111111e-03	0	-3.000000e-01	-2.100000e-01	1.018000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
9.00	-2.222222e-03	2.222222e-03	0	-3.200000e-01	-2.200000e-01	1.010000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
10.00	1.111111e-03	2.222222e-03	-1.111111e-03	-3.300000e-01	-2.500000e-01	1.008000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
11.00	1.111111e-03	1.111111e-03	3.333333e-03	-3.400000e-01	-2.500000e-01	1.012000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
12.00	-1.111111e-03	-1.111111e-03	1.111111e-03	-2.700000e-01	-2.900000e-01	1.015000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
13.00	-1.111111e-03	-3.333333e-03	0	-3.400000e-01	-2.900000e-01	1.040000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
14.00	1.111111e-03	6.666667e-03	0	-1.800000e-01	-2.700000e-01	1.019000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
15.00	-1.111111e-03	1.111111e-02	-1.111111e-03	-1.300000e-01	-3.200000e-01	9.810000e+00	-1.812500e+00	1.250000e+00	3.599375e+02
16.00	4.444444e-03	0	0	-5.300000e-01	-2.600000e-01	1.070000e+01	-1.812500e+00	1.187500e+00	3.599375e+02
17.00	2.333333e-02	2.777778e-02	1.111111e-03	-2.100000e-01	1.500000e-01	10	-1.812500e+00	1.187500e+00	3.599375e+02
18.00	-1.555556e-02	2.888889e-02	2.222222e-03	-4.500000e-01	-2.600000e-01	9.640000e+00	-1.812500e+00	1.250000e+00	3.599375e+02
19.00	-1.666667e-02	-3.333333e-02	0	1.000000e-02	-4.400000e-01	1.083000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
20.00	1.111111e-02	3.777778e-02	1.111111e-03	1.100000e-01	-3.500000e-01	1.025000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
21.00	-2.222222e-03	-2.777778e-02	0	-6.100000e-01	-2.900000e-01	9.900000e+00	-1.812500e+00	1.250000e+00	3.599375e+02
22.00	-2.222222e-03	-2.000000e-02	-1.111111e-03	0	-3.600000e-01	1.044000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
23.00	7.777778e-03	2.333333e-02	-1.111111e-03	-2.700000e-01	-2.400000e-01	1.035000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
24.00	1.111111e-03	-1.444444e-02	-1.111111e-03	-3.500000e-01	-2.400000e-01	1.004000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
25.00	5.555556e-03	-3.333333e-03	-3.333333e-03	-2.100000e-01	-1.800000e-01	1.028000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
26.00	8.888889e-03	1.222222e-02	-1.111111e-03	-3.400000e-01	-8.000000e-02	1.018000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
27.00	-6.666667e-03	-6.666667e-03	0	-2.900000e-01	-5.000000e-02	1.008000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
28.00	-6.666667e-03	2.222222e-03	0	-3.100000e-01	-1.700000e-01	1.017000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
29.00	-5.555556e-03	-3.333333e-03	2.222222e-03	-2.900000e-01	-2.600000e-01	1.019000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
30.00	1.111111e-03	0	2.222222e-03	-2.900000e-01	-2.600000e-01	1.017000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
31.00	1.111111e-03	-2.222222e-03	2.222222e-03	-3.400000e-01	-2.400000e-01	1.009000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
32.00	-1.111111e-03	-5.555556e-03	1.111111e-03	-2.300000e-01	-2.900000e-01	1.018000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
33.00	0	4.444444e-03	-1.111111e-03	-3.200000e-01	-2.800000e-01	1.012000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
34.00	2.222222e-03	-3.333333e-03	-2.222222e-03	-2.700000e-01	-2.400000e-01	1.014000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
35.00	4.444444e-03	-2.222222e-03	2.222222e-03	-3.300000e-01	-1.800000e-01	1.015000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
36.00	-4.444444e-03	-4.444444e-03	1.111111e-03	-3.200000e-01	-2.100000e-01	1.015000e+01	-1.812500e+00	1.250000e+00	3.599375e+02
